seq_id,ct10_id,municipal,nhd,county,years,pop,fi_p,unemp_p,pov_p,mhi,aa_p,lat_p,homeown_p,fi_num,snapbelowp,snapabovep,cost_index,short_week,short_year,weightcost,meal_gap,omad_goal,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
11,25025070500,Boston,South End,Suffolk,2015,5921,9.9,4.5,15.3,113068,6.9,16,47.5,590,82.2,17.8,1.212,21.07,375000,3.56,105200,35100,1,5460,2903,0,53,0.009707,0,0,0,0,0,0,14.7,118026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,750,527,3422,465,938,1,19,615,1070,1194,555
12,25025070600,Boston,South End,Suffolk,2015,2324,5.8,1.8,2.8,116354,0.6,2.6,63.9,130,82.2,17.8,1.212,21.07,86000,3.56,24200,8100,1,2240,1210,0,12,0.0053571,0,0,0,0,0,0,2.7,246146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,233,213,1902,96,130,1,3,108,114,524,23
13,25025070700,Boston,South End,Suffolk,2015,2966,16.4,8.5,9.3,98482,31.3,7,39.2,490,82.2,17.8,1.212,21.07,311000,3.56,87300,29100,1,2361,1238,0,8,0.0033884,0,0,0,0,0,0,8.9,93917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,305,212,1397,586,235,0,7,136,194,497,120
14,25025070800,Boston,South End,Suffolk,2015,3722,14.2,3.8,19.5,92500,17.7,11.4,36.9,530,82.2,17.8,1.212,21.07,338000,3.56,94900,31600,1,3706,2044,0,43,0.0116028,0,0,0,0,0,1,20.1,195625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,335,263,2479,730,265,0,5,227,337,905,206
15,25025070900,Boston,South End,Suffolk,2015,3153,18.9,7,22.5,46472,31,19.5,23.2,600,82.2,17.8,1.212,21.07,381000,3.56,107000,35700,1,3329,1728,0,27,0.0081105,0,0,0,0,0,1,20.8,97083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258,575,319,1725,833,270,1,16,484,714,675,358
16,25025071101,Boston,South End,Suffolk,2015,4067,17.7,4.8,36.5,42431,12.5,19.3,34.5,720,82.2,17.8,1.212,21.07,460000,3.56,129200,43100,1,3753,2088,0,351,0.0935252,0,0,0,0,0,1,33.2,62212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,293,376,2017,643,671,1,24,397,513,1009,446
17,25025071201,Boston,South End,Suffolk,2015,3398,23.4,18.3,29.7,48333,27.7,28,31.5,800,82.2,17.8,1.212,21.07,508000,3.56,142800,47600,1,3131,1304,0,397,0.1267965,0,0,0,0,0,1,33.5,47560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801,560,320,1468,666,478,4,11,504,758,529,545
18,25025060101,Boston,South Boston,Suffolk,2015,3798,10.1,3.7,8.1,103895,1,2.6,45.8,380,82.2,17.8,1.212,21.07,245000,3.56,68900,23000,1,3216,1575,0,79,0.0245647,0,0,0,0,1,0,10.8,105121,0,1,0,1,0,0,0,1,0,2157.005675,0,0,365.3946407,0,2157.005675,0.67071072,365.3946407,0.113617737,211.6008847,0.065796295,334.5809242,0.104036357,2108.279522,0.655559553,18.23175287,0.005669077,7.034273222,0.002187274,1.290132303,0.000401161,2.938409495,0.000913685,19.2315812,0.005979969,31.13832389,0.009682315,162.5072622,0.103179214,58.08327256,0.036878268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,301,440,3146,20,14,2,4,30,44,252,94
19,25025060200,Boston,South Boston,Suffolk,2015,2412,11.1,6.7,8,106550,0.7,0.6,54.1,270,82.2,17.8,1.212,21.07,171000,3.56,48100,16000,1,1916,927,0,8,0.0041754,0,0,0,0,0,0,7.4,119000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,204,213,1894,3,8,0,0,11,13,150,59
20,25025060301,Boston,South Boston,Suffolk,2015,3432,10.8,3.5,8.4,81098,0.1,1.7,44.1,370,82.2,17.8,1.212,21.07,237000,3.56,66500,22200,1,3076,1540,0,40,0.0130039,0,0,0,0,0,0,7.1,100179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,268,431,2986,22,28,0,1,39,28,518,205
21,25025060400,Boston,South Boston,Suffolk,2015,5378,12.7,5.8,8.9,96789,2.5,3.2,34.6,680,82.2,17.8,1.212,21.07,437000,3.56,122600,40900,1,4904,2378,0,285,0.0581158,0,0,0,0,0,0,9.4,106612,0,0,0,0,0,0,0,0,0,152.6260519,0,0,39.71559656,0,152.6260519,0.031122768,39.71559656,0.008098613,7.475496635,0.001524367,46.58511433,0.009499412,142.0470786,0.028965554,0.055251166,1.13E-05,8.435145549,0.001720054,0,0,0.007893024,1.61E-06,2.080689758,0.000424284,8.108820751,0.001653512,35.00503552,0.014720368,4.574509889,0.00192368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,425,853,4686,51,86,2,7,72,90,535,123
22,25025060501,Boston,South Boston,Suffolk,2015,4056,10.9,5.6,9,101845,1,4.2,47.1,440,82.2,17.8,1.212,21.07,283000,3.56,79400,26500,1,3571,1831,0,0,0,0,0,0,0,0,0,8.1,110950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,305,264,3379,23,99,1,3,66,72,458,100
23,25025060600,Boston,South Boston,Suffolk,2015,2679,9.8,3.9,6.2,112688,1.2,1,47.7,260,82.2,17.8,1.212,21.07,168000,3.56,47100,15700,1,2357,1370,0,17,0.0072126,0,0,0,0,0,0,4.9,129205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,121,140,2110,33,150,1,7,56,92,308,116
24,25025060700,Boston,South Boston,Suffolk,2015,2557,26.1,13.4,41,22469,34.6,37.9,0,670,82.2,17.8,1.212,21.07,427000,3.56,119800,39900,1,1893,617,0,1,0.0005283,0,0,0,0,0,1,39.9,21935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,718,111,572,489,194,0,5,633,877,421,337
25,25025060800,Boston,South Boston,Suffolk,2015,5118,9.4,1.2,12.3,93819,0.3,3.8,48.3,480,82.2,17.8,1.212,21.07,307000,3.56,86400,28800,1,3964,2002,0,31,0.0078204,0,0,0,0,0,0,8.4,83824,0,0,0,0,0,0,0,0,0,48.22653836,0,0,6.340829819,0,48.22653836,0.01216613,6.340829819,0.001599604,2.934327422,0.000740244,3.692655206,0.000931548,37.96921372,0.00957851,2.925779063,0.000738088,3.402011016,0.000858227,0,0,0,0,3.92953312,0.000991305,3.444752809,0.000869009,7.686508298,0.003839415,2.466919549,0.001232228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,341,294,3630,43,183,1,11,96,106,556,168
26,25025061000,Boston,South Boston,Suffolk,2015,3190,23.2,13,41.5,24814,14.7,30.5,18.1,740,82.2,17.8,1.212,21.07,473000,3.56,132900,44300,1,3098,1239,0,0,0,0,1,0,1,1,1,44.1,24149,0,1,0,1,0,0,0,1,0,1822.722924,0,0,1759.180577,0,1822.722924,0.58835472,1759.180577,0.567843957,650.5302442,0.209983939,88.82976399,0.028673261,508.8024321,0.164235775,495.3500703,0.159893502,289.1736701,0.09334205,0,0,13.02049438,0.004202871,516.3762654,0.166680525,762.7058751,0.246192987,348.239721,0.28106515,269.9938984,0.217912751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2296,854,174,1526,597,346,0,16,613,895,579,533
