County,Inspection_Grade,Inspection Date,Owner_Name,Trade_Name,Street,City,State Code,Zip_Code,Deficiency Number,Deficiency Description,Location 1
Rockland,C,10/22/18,GREAT NEWS CORP,GREAT NEWS (NEW CITY),180 S MAIN ST,NEW CITY,NY,10956,05B,Critical Processing or Salvaging Parameters are not met,"180 S MAIN ST
NEW CITY, NY 10956
(41.140098, -73.990571)"
Richmond,C,8/27/18,NELSON CORNER FOOD MARKET INC,NELSON CORNER FOOD MART,4020 AMBOY ROAD,STATEN ISLAND,NY,10308,06B,Potentially hazardous foods are not stored at safe temperatures,"4020 AMBOY ROAD
STATEN ISLAND, NY 10308
(40.550029, -74.150802)"
Richmond,C,8/27/18,NELSON CORNER FOOD MARKET INC,NELSON CORNER FOOD MART,4020 AMBOY ROAD,STATEN ISLAND,NY,10308,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","4020 AMBOY ROAD
STATEN ISLAND, NY 10308
(40.550029, -74.150802)"
Rockland,C,7/31/18,JENA FOODS LLC,BRAVO SUPERMARKET 139,289 N MAIN ST,SPRING VALLEY,NY,10977,06B,Potentially hazardous foods are not stored at safe temperatures,"289 N MAIN ST
SPRING VALLEY, NY 10977
(41.128797, -74.040932)"
Richmond,B,10/17/18,CRUCIATA ANTHONY,SANTINO'S GOURMET DELI,409 FOREST AVE,STATEN ISLAND,NY,10301,06B,Potentially hazardous foods are not stored at safe temperatures,"409 FOREST AVE
STATEN ISLAND, NY 10301
(40.630882, -74.103015)"
Richmond,B,9/13/18,DADDYS DELI & GROCERY INC,DADDYS DELI & GROCERY,758 ARTHUR KILL RD,STATEN ISLAND,NY,10312,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","758 ARTHUR KILL RD
STATEN ISLAND, NY 10312
(40.560335, -74.166176)"
Richmond,C,10/2/18,BAYONNE DELI & GRILL,BAYONNE DELI & GRILL,140 MORNINGSTAR RD,STATEN ISLAND,NY,10303,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","140 MORNINGSTAR RD
STATEN ISLAND, NY 10303
(40.634613, -74.145823)"
Rockland,B,8/28/18,WIJUS INC,JS DELI & CONVENIENT,85 OLD TAPPAN RD,TAPPAN,NY,10983,06B,Potentially hazardous foods are not stored at safe temperatures,"85 OLD TAPPAN RD
TAPPAN, NY 10983
(41.022638, -73.951784)"
Richmond,C,10/3/18,CASTLETON 5-11 CONVENIENCE INC,5-11 CONVENIENCE,220 PORT RICHMOND AVE,STATEN ISLAND,NY,10302,03E,"Employees handling exposed, ready-to-eat foods without an acceptable protective barrier","220 PORT RICHMOND AVE
STATEN ISLAND, NY 10302
(40.635834, -74.134893)"
Rockland,C,11/6/18,MAPLE FOOD MART &  DELI INC,MAPLE FOOD MART,128 MAPLE AVE,SPRING VALLEY,NY,10977,06B,Potentially hazardous foods are not stored at safe temperatures,"128 MAPLE AVE
SPRING VALLEY, NY 10977
(41.117145, -74.049364)"
Bronx,C,10/31/18,BEDFORD BOULEVARD FOOD CORP,CHERRY VALLEY MARKETPLA,2870 WEBSTER AVE,BRONX,NY,10458,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"2870 WEBSTER AVE
BRONX, NY 10458
(40.866992, -73.883988)"
Rockland,C,9/5/18,BEAUMONT CIRCLE INC,NANUET MINI MART,225 S MIDDLETOWN RD,NANUET,NY,10954,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","225 S MIDDLETOWN RD
NANUET, NY 10954
(41.089031, -74.013508)"
Richmond,C,7/12/18,ELTINAVILLE BAGEL & DELI INC,ELTINAVILLE BAGEL & DEL,3845 RICHMOND AVE #1C,STATEN ISLAND,NY,10312,06B,Potentially hazardous foods are not stored at safe temperatures,"3845 RICHMOND AVE
STATEN ISLAND, NY 10312
(40.544105, -74.165117)"
St. Lawrence,C,10/15/18,7-ELEVEN INC,A PLUS #40500H,72 S MAIN ST,NORWOOD,NY,13668,02D,Other adulterated / unfit foods or ingredients,"72 S MAIN ST
NORWOOD, NY 13668
(44.744566, -74.992317)"
Bronx,C,10/16/18,CONCOURSE DELI GROCERY INC,CONCOURSE DELI GROCERY,1266 GRAND CONCOURSE,BRONX,NY,10456,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1266 GRAND
BRONX, NY 10456"
Steuben,B,11/27/18,MART WON INC,HAMMONDSPORT GROCERY,22 SHETHER ST #,HAMMONDSPORT,NY,14840,06B,Potentially hazardous foods are not stored at safe temperatures,"22 SHETHER ST
HAMMONDSPORT, NY 14840
(42.409597, -77.221168)"
St. Lawrence,C,11/6/18,BREGG WINERY INC,BREGG WINERY,56 W  MAIN ST,NORFOLK,NY,13667,05B,Critical Processing or Salvaging Parameters are not met,"56 W MAIN ST
NORFOLK, NY 13667
(44.801551, -74.992787)"
Steuben,B,10/2/18,P&C STORES CORPORATION,QUIK SHOPPE 105,46 MAIN ST,HAMMONDSPORT,NY,14840,02D,Other adulterated / unfit foods or ingredients,"46 MAIN ST
HAMMONDSPORT, NY 14840
(42.408219, -77.223865)"
Steuben,B,11/27/18,MART WON INC,HAMMONDSPORT GROCERY,22 SHETHER ST #,HAMMONDSPORT,NY,14840,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","22 SHETHER ST
HAMMONDSPORT, NY 14840
(42.409597, -77.221168)"
Saratoga,C,11/26/18,GTB FUEL 2 CORP,GTB FUEL 2,10 ROUND LAKE RD,BALLSTON LAKE,NY,12019,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"10 ROUND LAKE RD
BALLSTON LAKE, NY 12019
(42.936432, -73.806568)"
Suffolk,B,10/21/16,ANDERSON FISHERIES INC,ANDERSON FISHERIES,781 MILL RD,RIVERHEAD,NY,11901,05B,Critical Processing or Salvaging Parameters are not met,"781 MILL RD
RIVERHEAD, NY 11901
(40.938546, -72.708292)"
St. Lawrence,C,9/25/18,PRICE CHOPPER OPERATING CO INC,PRICE CHOPPER #037,389 E MAIN ST #,GOUVERNEUR,NY,13642,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"389 E MAIN ST
GOUVERNEUR, NY 13642
(44.340046, -75.454678)"
St. Lawrence,C,11/6/18,DOLGEN CORP OF NEW YORK INC,DOLLAR GENERAL #16163,57 SOUTH MAIN STREET,NORWOOD,NY,13668,02D,Other adulterated / unfit foods or ingredients,"57 SOUTH MAIN STREET
NORWOOD, NY 13668
(44.744955, -74.992423)"
Suffolk,C,9/6/18,FARMERS MARKET SELDEN INC,HOUSE OF SPICE,1228 MIDDLE COUNTRY RD,SELDEN,NY,11784,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1228 MIDDLE COUNTRY RD
SELDEN, NY 11784
(40.862654, -73.055778)"
Suffolk,C,9/20/18,GREENPORT SEAFOOD DOCK INC,ALICES FISH MARKET,222 ATLANTIC AVE,GREENPORT,NY,11944,05B,Critical Processing or Salvaging Parameters are not met,"222 ATLANTIC AVE
GREENPORT, NY 11944
(41.111905, -72.361868)"
Suffolk,B,10/22/18,BRADFRD T REEVE SR&PAUL REEVE INC,BAYVIEW FARM MARKET,891 MAIN RD #,AQUEBOGUE,NY,11931,05B,Critical Processing or Salvaging Parameters are not met,"891 MAIN RD
AQUEBOGUE, NY 11931
(40.947392, -72.611691)"
Bronx,C,9/26/18,STOP & SHOP SUPERMARKET CO LLC TH,STOP & SHOP #2594,1720 E CHESTER RD,BRONX,NY,10461,02D,Other adulterated / unfit foods or ingredients,"1720 E CHESTER RD
BRONX, NY 10461"
Suffolk,C,8/9/18,EATCETERA CAFE INC,EATCETERA CAFE,1120 SMITHTOWN AVE,BOHEMIA,NY,11716,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1120 SMITHTOWN AVE
BOHEMIA, NY 11716
(40.770204, -73.108866)"
Suffolk,C,7/3/18,LNBN INC,WALLENS NATURAL MARKET,83 S OCEAN AVE,PATCHOGUE,NY,11772,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","83 S OCEAN AVE
PATCHOGUE, NY 11772
(40.764277, -73.014536)"
Suffolk,B,7/18/18,LA PLACITA MEAT MARKET CORP,LA PLACITA MEAT MARKET,58 SURREY CIR,SHIRLEY,NY,11967,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","58 SURREY CIR
SHIRLEY, NY 11967
(40.796965, -72.865161)"
Ulster,C,8/27/18,BUSCIGLIO LEONARDO,LENNYS BEE PRODUCTIONS,403 WITTENBERG RD,BEARSVILLE,NY,12409,05B,Critical Processing or Salvaging Parameters are not met,"403 WITTENBERG RD
BEARSVILLE, NY 12409
(42.025618, -74.194103)"
Sullivan,C,11/13/18,PRAJAS INC,SHRI SUNGATE MINI MARKT,210 N MAIN ST,LIBERTY,NY,12754,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","210 N MAIN ST
LIBERTY, NY 12754
(41.802962, -74.747294)"
Tompkins,C,10/22/18,PATEL 1 LLC,PATEL 1,318 3RD ST,ITHACA,NY,14850,08B,"Hot-holding equipment improperly designed, maintained, or operated to keep hot foods at 135?F or above","318 3RD ST
ITHACA, NY 14850
(42.447067, -76.505651)"
Ulster,C,11/29/18,PLATTEKILL CORNERS GENL STORE INC,PLATTEKILL HARDWARE,18 PLATTEKILL-ARDONIA RD #,PLATTEKILL,NY,12568,01B,Water or ice is not potable,"18 PLATTEKILL-ARDONIA RD
PLATTEKILL, NY 12568
(41.617425, -74.075965)"
Ulster,C,10/4/18,SHIVAM FOODMART INC,COUNTRY FARMS,501 MAIN STREET #3,NEW PALTZ,NY,12561,03E,"Employees handling exposed, ready-to-eat foods without an acceptable protective barrier","501 MAIN STREET
NEW PALTZ, NY 12561
(41.740499, -74.055966)"
Chenango,B,11/27/18,REAL DEALS OF AUBURN INC,REAL DEALS DOLLAR STORE,5640 STATE ROUTE 12,NORWICH,NY,13815,02D,Other adulterated / unfit foods or ingredients,"5640 STATE ROUTE
NORWICH, NY 13815"
Columbia,B,11/14/18,GRJH INC,COBBLE POND FARMS,3360 RT 9 #,VALATIE,NY,12184,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"3360 RT
VALATIE, NY 12184"
Columbia,C,10/26/18,LOFSTAD FISH CO INC,PURA VIDA FISHERIES,6798 RT 9 ,HUDSON,NY,12534,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","6798 RT
HUDSON, NY 12534"
Cortland,B,9/12/18,DEWITT STEPHEN,DEWITT PRODUCE,161 CLINTON AVE RIVERSIDE PLAZA,CORTLAND,NY,13045,06B,Potentially hazardous foods are not stored at safe temperatures,"161 CLINTON AVE RIVERSIDE PLAZA
CORTLAND, NY 13045"
Suffolk,C,11/1/18,R&S MEATS INC,R&S MEATS,212D WALL ST,HUNTINGTON,NY,11743,05B,Critical Processing or Salvaging Parameters are not met,"212D WALL ST
HUNTINGTON, NY 11743
(40.878722, -73.425379)"
Sullivan,C,10/1/18,NOSSO POSTO INC,NEVERSINK GENERAL STORE,4 SCHUMWAY RD,NEVERSINK,NY,12765,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","4 SCHUMWAY RD
NEVERSINK, NY 12765
(41.844635, -74.627431)"
Dutchess,B,11/30/18,1336 ENTERPRISE INC,1336 ENTERPRISE,1336 ROUTE 9,WAPPINGERS FALLS,NY,12590,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"1336 ROUTE
WAPPINGERS FALLS, NY 12590"
Tompkins,C,8/21/18,SUSHI WITH GUSTO INC,SUSHI WITH GUSTO,700 W BUFFALO ST #,ITHACA,NY,14850,05B,Critical Processing or Salvaging Parameters are not met,"700 W BUFFALO ST
ITHACA, NY 14850
(42.440931, -76.51102)"
Dutchess,B,12/3/18,BERRY'S FARM INC,BERRY'S FARM,413 ROUTE 376,HOPEWELL JUNCTION,NY,12533,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","413 ROUTE
HOPEWELL JUNCTION, NY 12533"
Dutchess,B,11/30/18,CHESTNUT MARTS INC,CHESTNUT MARTS,1468 RTE 9 ,WAPPINGERS FALLS,NY,12590,06B,Potentially hazardous foods are not stored at safe temperatures,"1468 RTE
WAPPINGERS FALLS, NY 12590"
Tompkins,C,10/22/18,PATEL 1 LLC,PATEL 1,318 3RD ST,ITHACA,NY,14850,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"318 3RD ST
ITHACA, NY 14850
(42.447067, -76.505651)"
Dutchess,C,11/8/18,MILLERTON FRESH MARKET INC,MILLERTON FRESH MARKET,122 RT 44#,MILLERTON,NY,12546,05B,Critical Processing or Salvaging Parameters are not met,"122 RT
MILLERTON, NY 12546"
Dutchess,B,10/2/18,QUICK STOP MART INC,QUICK STOP FOOD MART,1499 RT 9,WAPPINGERS FALLS,NY,12590,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1499 RT
WAPPINGERS FALLS, NY 12590"
Dutchess,B,10/2/18,QUICK STOP MART INC,QUICK STOP FOOD MART,1499 RT 9,WAPPINGERS FALLS,NY,12590,06B,Potentially hazardous foods are not stored at safe temperatures,"1499 RT
WAPPINGERS FALLS, NY 12590"
Westchester,C,9/25/18,GREAT NEWS CORP,GREAT NEWS (SCARSDALE),58 EAST PKWY,SCARSDALE,NY,10583,05B,Critical Processing or Salvaging Parameters are not met,"58 EAST PKWY
SCARSDALE, NY 10583
(40.990624, -73.807709)"
Dutchess,B,10/24/18,TJJG PETROLEUM INC,FISHKILL VALERO,909 RT 52,FISHKILL,NY,12524,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"909 RT
FISHKILL, NY 12524"
Westchester,C,10/18/18,JENLIKE DELI GROCERY CORP,JENLIKE DELI GROCERY,202 ELM STREET,YONKERS,NY,10701,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","202 ELM STREET
YONKERS, NY 10701
(40.932698, -73.887814)"
Westchester,B,7/18/18,APOLO MEAT MARKET & GROCERY CORP,APOLO MEAT MARKET & GRO,120 HERRIOT AVE,YONKERS,NY,10701,06B,Potentially hazardous foods are not stored at safe temperatures,"120 HERRIOT AVE
YONKERS, NY 10701
(40.928199, -73.901669)"
Westchester,C,10/11/18,LP WHOLESALE SEAFOOD LTD,LP WHOLESALE SEAFOOD,295 MIDLAND AVE,PORT CHESTER,NY,10573,05B,Critical Processing or Salvaging Parameters are not met,"295 MIDLAND AVE
PORT CHESTER, NY 10573
(40.991809, -73.669318)"
Westchester,C,11/6/18,TARRYTOWN SNACK MART INC,TARRYTOWN SNACK MART,440 S BROADWAY #,TARRYTOWN,NY,10591,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"440 S BROADWAY
TARRYTOWN, NY 10591
(41.061027, -73.862141)"
Westchester,C,9/18/18,DANS SUPREME SUPERMARKETS INC,KEY FOOD 1511,35 PLEASANTVILLE RD #,PLEASANTVILLE,NY,10570,02D,Other adulterated / unfit foods or ingredients,"35 PLEASANTVILLE RD
PLEASANTVILLE, NY 10570
(41.132948, -73.794929)"
Westchester,C,12/3/18,BENTO NOUVEAU INC,BENTO SUSHI #2437,12 CEDAR ST,BRONXVILLE,NY,10708,05B,Critical Processing or Salvaging Parameters are not met,"12 CEDAR ST
BRONXVILLE, NY 10708
(40.938725, -73.833735)"
Ulster,C,10/25/18,VERONA OIL CO INC,COUNTRY STORE 21,65 MAIN ST PO BX 273,PHOENICIA,NY,12464,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","65 MAIN ST
PHOENICIA, NY 12464
(42.083313, -74.313927)"
Westchester,C,9/24/18,CROTON FOOD MART INC,CROTON FOODMART,2030 ALBANY POST RD,CROTON ON HUDSON,NY,10520,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"2030 ALBANY POST RD
CROTON ON HUDSON, NY 10520
(41.232004, -73.912927)"
Westchester,C,11/14/18,CENTRAL INT MARKET INC,CENTRAL INT MARKET,6-8 WARBURTON AVE,YONKERS,NY,10701,05B,Critical Processing or Salvaging Parameters are not met,"6 8 WARBURTON AVE
YONKERS, NY 10701
(40.934734, -73.899471)"
Westchester,C,9/24/18,CROTON FOOD MART INC,CROTON FOODMART,2030 ALBANY POST RD,CROTON ON HUDSON,NY,10520,08B,"Hot-holding equipment improperly designed, maintained, or operated to keep hot foods at 135?F or above","2030 ALBANY POST RD
CROTON ON HUDSON, NY 10520
(41.232004, -73.912927)"
Westchester,C,10/29/18,JANG'S FARM INC,YONKERS FARM WHOLESALE,1101 YONKERS AVE,YONKERS,NY,10704,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1101 YONKERS AVE
YONKERS, NY 10704
(40.913501, -73.855878)"
Westchester,C,9/18/18,DANS SUPREME SUPERMARKETS INC,KEY FOOD 1511,35 PLEASANTVILLE RD #,PLEASANTVILLE,NY,10570,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","35 PLEASANTVILLE RD
PLEASANTVILLE, NY 10570
(41.132948, -73.794929)"
Washington,C,11/7/18,BEARLY WILD FARM  LLC THE,MUDDY TRAIL JERKY CO,85 QUAKER STREET,GRANVILLE,NY,12832,05B,Critical Processing or Salvaging Parameters are not met,"85 QUAKER STREET
GRANVILLE, NY 12832
(43.398807, -73.265848)"
Westchester,C,7/24/18,JIMZO MINIMART CORP,JIMZO MINIMART,681 E LINCOLN AVE,MOUNT VERNON,NY,10552,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","681 E LINCOLN AVE
MOUNT VERNON, NY 10552
(40.916439, -73.812969)"
Westchester,C,11/6/18,BART LET FOODS INC,VILLAGE PRIME MEATS,475 MAIN ST ,ARMONK,NY,10504,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","475 MAIN ST
ARMONK, NY 10504
(41.128521, -73.713393)"
Westchester,C,9/25/18,DE CICCO OF SCARSDALE INC,DE CICCO MARKETPLACE 21,58 EAST PKWY,SCARSDALE,NY,10583,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","58 EAST PKWY
SCARSDALE, NY 10583
(40.990624, -73.807709)"
Westchester,C,11/15/18,364 WASHINGTON FOOD CORP,LA MARQUETA,364 WASHINGTON ST,PEEKSKILL,NY,10566,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","364 WASHINGTON ST
PEEKSKILL, NY 10566
(41.283329, -73.925755)"
Westchester,C,10/1/18,VINEYARD DELI GROCERY CORP,VINEYARD DELI GROCERY,31 VINEYARD AVE,YONKERS,NY,10703,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","31 VINEYARD AVE
YONKERS, NY 10703
(40.940647, -73.887756)"
Westchester,C,11/1/18,HARJAS NY INC,HARJAS NY,160 N CENTRAL AVE,ELMSFORD,NY,10523,06B,Potentially hazardous foods are not stored at safe temperatures,"160 N CENTRAL AVE
ELMSFORD, NY 10523
(41.057714, -73.817062)"
Westchester,C,9/11/18,WHOLE FOODS MARKET GROUP INC,WHOLE FOODS MARKET,110 BLOOMINGDALE RD,WHITE PLAINS,NY,10605,06B,Potentially hazardous foods are not stored at safe temperatures,"110 BLOOMINGDALE RD
WHITE PLAINS, NY 10605
(41.027358, -73.757997)"
Westchester,C,10/2/18,G&S CORP,DECICCO FAMILY MARKET,43 5TH AVE,PELHAM,NY,10803,06B,Potentially hazardous foods are not stored at safe temperatures,"43 5TH AVE
PELHAM, NY 10803
(40.911988, -73.809332)"
Westchester,C,10/30/18,GROCERY SURAMERICA INC,GROCERY SURAMERICA,72 GRACE CHURCH STREET,PORT CHESTER,NY,10573,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","72 GRACE CHURCH STREET
PORT CHESTER, NY 10573
(40.995278, -73.664648)"
Westchester,C,6/13/18,JUST FRESH DELI & GROCERY CORP,JUST FRESH DELI & GROCE,18 LAWRENCE STREET,YONKERS,NY,10705,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","18 LAWRENCE STREET
YONKERS, NY 10705
(40.915881, -73.895509)"
Westchester,C,8/14/18,JB&SON LTD,JB&SON,564 MILE SQUARE RD,YONKERS,NY,10701,05B,Critical Processing or Salvaging Parameters are not met,"564 MILE SQUARE RD
YONKERS, NY 10701
(40.936686, -73.861648)"
Westchester,C,4/9/18,LA CORONA DELI II INC,LA CORONA DELI II,176 WILLOW ST,YONKERS,NY,10701,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","176 WILLOW ST
YONKERS, NY 10701
(40.929325, -73.891642)"
Westchester,C,9/13/18,NARVAEZ FOOD CORP,SAVE A LOT PEEKSKILL,1099 N DIVISION ST #,PEEKSKILL,NY,10566,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1099 N DIVISION ST
PEEKSKILL, NY 10566
(41.306324, -73.912663)"
Westchester,C,11/26/18,NEPPERHAN GROCERY & DELI INC,NEPPERHAN GROCERY & DEL,217 ASHBURTON AVE,YONKERS,NY,10701,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","217 ASHBURTON AVE
YONKERS, NY 10701
(40.939199, -73.886808)"
Westchester,C,11/20/18,ONE STAR GROCERY & DELI CORP,ONE STAR GROCERY & DELI,1027 PARK STREET ,PEEKSKILL,NY,10566,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1027 PARK STREET
PEEKSKILL, NY 10566
(41.290811, -73.918861)"
Westchester,C,8/16/18,OSSINING SNACK SHOP INC,OSSINING SNACK SHOP,32 BELLE AVE,OSSINING,NY,10562,08B,"Hot-holding equipment improperly designed, maintained, or operated to keep hot foods at 135?F or above","32 BELLE AVE
OSSINING, NY 10562
(41.168621, -73.839115)"
Westchester,C,8/13/18,RACEWAY DELI INC,RACEWAY DELI,579 CENTRAL PARK AVE,YONKERS,NY,10704,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","579 CENTRAL PARK AVE
YONKERS, NY 10704
(40.921753, -73.862965)"
Westchester,C,10/26/18,WHITE PLAINS SERVICE STATION INC,WHITE PLAINS MOBILE,417 MAMARONECK AVE,WHITE PLAINS,NY,10605,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","417 MAMARONECK AVE
WHITE PLAINS, NY 10605
(41.023203, -73.761044)"
Westchester,C,11/28/18,S&S FOODS LLC,C TOWN SUPERMARKET,114 N BROADWAY,TARRYTOWN,NY,10591,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","114 N BROADWAY
TARRYTOWN, NY 10591
(41.079988, -73.857753)"
