Name,fullPosition,position,Department,fullname,Level,status,Start_Date,End_Date,Acting_days,
Dan Elwell,Administrator of the Federal Aviation Administration,Administrator,FAA,Federal Aviation Administration,Non-Cabinet,Acting,1/7/18,8/1/19,,
Daniel Ragsdale,Director of Immigration and Customs Enforcement,Director,ICE,Immigration and Customs Enforcement,Non-Cabinet,Acting,1/20/17,1/30/17,,
Thomas Homan,Director of Immigration and Customs Enforcement,Director,ICE,Immigration and Customs Enforcement,Non-Cabinet,Acting,1/30/17,6/30/18,,
Ronald Vitiello,Director of Immigration and Customs Enforcement,Director,ICE,Immigration and Customs Enforcement,Non-Cabinet,Acting,6/30/18,4/1/19,,
Matthew Albence,Director of Immigration and Customs Enforcement,Director,ICE,Immigration and Customs Enforcement,Non-Cabinet,Acting,4/1/19,5/28/19,,
Mark Morgan,Director of Immigration and Customs Enforcement,Director,ICE,Immigration and Customs Enforcement,Non-Cabinet,Acting,5/28/19,7/5/19,,
Matthew Albence,Director of Immigration and Customs Enforcement,Director,ICE,Immigration and Customs Enforcement,Non-Cabinet,Acting,7/5/19,8/1/19,,
Kevin McAleenan,Commissioner of Customs and Border Protection,Commissioner,CBP,Customs and Border Protection,Non-Cabinet,Acting,1/20/17,4/20/19,,
John Sanders,Commissioner of Customs and Border Protection,Commissioner,CBP,Customs and Border Protection,Non-Cabinet,Acting,4/20/19,7/5/19,,
Mark Morgan,Commissioner of Customs and Border Protection,Commissioner,CBP,Customs and Border Protection,Non-Cabinet,Acting,7/5/19,8/1/19,,
Victoria Lipnic,Chair of Equal Employment Opportunity Commission,Chair,EEOC,Equal Employment Opportunity Commission,Non-Cabinet,Acting,1/25/17,8/1/19,,
Ann Marie Buerkle,Chairman of Consumer Product Safety Commission,Chairman,CPSC,Consumer Product Safety Commission,Non-Cabinet,Acting,2/9/17,8/1/19,,
Scott Gottlieb,Director of Food and Drug Administration,Director,FDA,Food and Drug Administration,Non-Cabinet,Non-Acting,5/11/17,4/5/19,,
Ned Sharpless,Director of Food and Drug Administration,Director,FDA,Food and Drug Administration,Non-Cabinet,Acting,4/5/19,8/1/19,,
Loren Sweatt,Director of Occupational Safety and Health Administration,Director,OSHA,Occupational Safety and Health Administration,Non-Cabinet,Acting,7/24/17,8/1/19,,
Lee Francis Cissna,Director of Citizenship and Immigration Services,Director,USCIS,Citizenship and Immigration Services,Non-Cabinet,Non-Acting,10/8/17,6/10/19,,
Ken Cuccinelli,Director of Citizenship and Immigration Services,Director,USCIS,Citizenship and Immigration Services,Non-Cabinet,Acting,6/10/19,8/1/19,,
Robert Fenton,Administrator of Federal Emergency Management Agency,Administrator,FEMA,Federal Emergency Management Agency,Non-Cabinet,Acting,1/20/17,6/23/17,302,155
Brock Long,Administrator of Federal Emergency Management Agency,Administrator,FEMA,Federal Emergency Management Agency,Non-Cabinet,Non-Acting,6/23/17,3/8/19,,
Peter Gaynor,Administrator of Federal Emergency Management Agency,Administrator,FEMA,Federal Emergency Management Agency,Non-Cabinet,Acting,3/8/19,8/1/19,,147
