ShortName,youthLiteracyRate,under5Mortality,country,adolescentFertilityRate,ISO3,LongName,Region
Mauritania,48,90.2,Mauritania,80.8598,MHL,Islamic Republic of Mauritania,Sub-Saharan Africa
Mauritius,99,14.3,Mauritius,28.8782,MRT,Republic of Mauritius,Sub-Saharan Africa
Mexico,99,14.5,Mexico,64.7146,MUS,United Mexican States,Latin America & Caribbean
Moldova,100,16.4,Moldova,24.444,FSM,Republic of Moldova,Europe & Central Asia
Mongolia,99,24.7,Mongolia,17.6874,MCO,Mongolia,East Asia & Pacific
Montenegro,99,5.3,Montenegro,12.897,MNG,Montenegro,Europe & Central Asia
Morocco,74,29.7,Morocco,32.7784,MNE,Kingdom of Morocco,Middle East & North Africa
Mozambique,57,85.6,Mozambique,148.1392,MAR,Republic of Mozambique,Sub-Saharan Africa
Myanmar,96,53.5,Myanmar,17.1758,MOZ,Republic of the Union of Myanmar,East Asia & Pacific
Namibia,91,47.7,Namibia,78.5882,MMR,Republic of Namibia,Sub-Saharan Africa
Nepal,77,39,Nepal,73.7654,NAM,Nepal,South Asia
Nicaragua,89,23.5,Nicaragua,91.2078,NZL,Republic of Nicaragua,Latin America & Caribbean
Niger,15,104.1,Niger,206.045,NIC,Republic of Niger,Sub-Saharan Africa
Nigeria,58,116.6,Nigeria,114.468,NER,Federal Republic of Nigeria,Sub-Saharan Africa
Oman,98,11.7,Oman,9.6078,NOR,Sultanate of Oman,Middle East & North Africa
Pakistan,63,85.6,Pakistan,39.99,OMN,Islamic Republic of Pakistan,South Asia
Panama,97,18.1,Panama,76.9206,PLW,Republic of Panama,Latin America & Caribbean
Papua New Guinea,76,60.9,Papua New Guinea,56.07,PAN,The Independent State of Papua New Guinea,East Asia & Pacific
Paraguay,99,21.9,Paraguay,59.1124,PNG,Republic of Paraguay,Latin America & Caribbean
Peru,99,18.3,Peru,50.9086,PRY,Republic of Peru,Latin America & Caribbean
Philippines,98,29.6,Philippines,58.8826,PER,Republic of the Philippines,East Asia & Pacific
Poland,100,5.2,Poland,14.193,PHL,Republic of Poland,Europe & Central Asia
Portugal,99,3.8,Portugal,11.1172,POL,Portuguese Republic,Europe & Central Asia
Qatar,100,8.4,Qatar,11.2884,PRI,State of Qatar,Middle East & North Africa
Romania,99,12,Romania,36.206,QAT,Romania,Europe & Central Asia
Russia,100,10.4,Russian Federation,25.5276,ROU,Russian Federation,Europe & Central Asia
Rwanda,78,47.8,Rwanda,28.4676,RUS,Republic of Rwanda,Sub-Saharan Africa
Samoa,100,18.2,Samoa,26.9306,RWA,Samoa,East Asia & Pacific
Sao Tom_ and Principe,77,50.8,Sao Tome and Principe,86.88,SMR,Democratic Republic of S_o Tom_ and Principe,Sub-Saharan Africa
Saudi Arabia,99,15.5,Saudi Arabia,10.06,STP,Kingdom of Saudi Arabia,Middle East & North Africa
Senegal,59,52.5,Senegal,83.6376,SAU,Republic of Senegal,Sub-Saharan Africa
Serbia,99,6.9,Serbia,19.9722,SEN,Republic of Serbia,Europe & Central Asia
Seychelles,99,14,Seychelles,58.9794,SRB,Republic of Seychelles,Sub-Saharan Africa
Sierra Leone,54,133.4,Sierra Leone,122.4688,SYC,Republic of Sierra Leone,Sub-Saharan Africa
Singapore,100,2.8,Singapore,3.8712,SLE,Republic of Singapore,East Asia & Pacific
Slovenia,100,2.8,Slovenia,4.2084,SVK,Republic of Slovenia,Europe & Central Asia
South Africa,99,43.4,South Africa,48.7214,SOM,Republic of South Africa,Sub-Saharan Africa
Spain,100,4.3,Spain,8.733,SSD,Kingdom of Spain,Europe & Central Asia
Sri Lanka,99,10.2,Sri Lanka,16.569,ESP,Democratic Socialist Republic of Sri Lanka,South Asia
Sudan,85,74.2,Sudan,79.994,VCT,Republic of the Sudan,Sub-Saharan Africa
Suriname,99,22.6,Suriname,47.2984,SDN,Republic of Suriname,Latin America & Caribbean
Swaziland,95,67.6,Swaziland,79.9952,SUR,Kingdom of Swaziland,Sub-Saharan Africa
Syrian Arab Republic,94,15.3,Syrian Arab Republic,41.1662,CHE,Syrian Arab Republic,Middle East & North Africa
Tajikistan,100,47.8,Tajikistan,38.9126,TWN,Republic of Tajikistan,Europe & Central Asia
Thailand,97,13.1,Thailand,44.6664,TZA,Kingdom of Thailand,East Asia & Pacific
Timor-Leste,79,56.5,Timor-Leste,49.964,THA,Democratic Republic of Timor-Leste,East Asia & Pacific
Togo,73,83.3,Togo,91.8462,TLS,Republic of Togo,Sub-Saharan Africa
Tonga,100,17.3,Tonga,16.0212,TGO,Kingdom of Tonga,East Asia & Pacific
Trinidad and Tobago,100,21.5,Trinidad and Tobago,33.4818,TON,Republic of Trinidad and Tobago,Latin America & Caribbean
Tunisia,96,15.2,Tunisia,6.7884,TTO,Republic of Tunisia,Middle East & North Africa
Turkey,98,15.4,Turkey,30.021,TUN,Republic of Turkey,Europe & Central Asia
Turkmenistan,100,54.7,Turkmenistan,17.3494,TUR,Turkmenistan,Europe & Central Asia
Uganda,85,60.3,Uganda,120.7472,TUV,Republic of Uganda,Sub-Saharan Africa
Ukraine,100,10,Ukraine,26.419,UGA,Ukraine,Europe & Central Asia
United Arab Emirates,97,7.4,United Arab Emirates,28.4394,UKR,United Arab Emirates,Middle East & North Africa
Uruguay,99,11.1,Uruguay,57.2492,USA,Oriental Republic of Uruguay,Latin America & Caribbean
Uzbekistan,100,41.8,Uzbekistan,18.0354,URY,Republic of Uzbekistan,Europe & Central Asia
Vanuatu,95,28.4,Vanuatu,44.1226,UZB,Republic of Vanuatu,East Asia & Pacific
Venezuela,99,15.7,"Venezuela, RB",80.2826,VUT,Rep_blica Bolivariana de Venezuela,Latin America & Caribbean
Vietnam,97,22.9,Vietnam,37.0902,VEN,Socialist Republic of Vietnam,East Asia & Pacific
Yemen,78,46,"Yemen, Rep.",63.7318,WBG,Republic of Yemen,Middle East & North Africa
Zambia,58,70.2,Zambia,98.1738,YEM,Republic of Zambia,Sub-Saharan Africa
Zimbabwe,92,74.5,Zimbabwe,111.8664,ZMB,Republic of Zimbabwe,Sub-Saharan Africa
World,86.7,39.41,World,56.01,,World,None
